Setting up Perceptual loss...
Loading model from: /home/mehmetturan/virasoft_projects/gaugan/segmentation/fat_pytorch_lit/FastGAN-pytorch/lpips/weights/v0.1/vgg.pth
...[net-lin [vgg]] initialized
...Done
Namespace(path='../fat_data/fat_detection/ann_dir/train/', cuda=0, name='test1', iter=100000, start_iter=0, batch_size=8, im_size=512, ckpt='None')
GAN: loss d: 8.87671    loss g: -4.13200
GAN: loss d: 9.34787    loss g: -4.08821
GAN: loss d: 10.39849    loss g: -4.14414
GAN: loss d: 10.35948    loss g: -4.23485
GAN: loss d: 10.61452    loss g: -4.05195
GAN: loss d: 9.89397    loss g: -4.07054
GAN: loss d: 10.55346    loss g: -3.93240
GAN: loss d: 10.61551    loss g: -4.00178
GAN: loss d: 10.84582    loss g: -4.02457
GAN: loss d: 10.45239    loss g: -3.97338
GAN: loss d: 10.39328    loss g: -3.96288
GAN: loss d: 9.73973    loss g: -4.13699
GAN: loss d: 10.61800    loss g: -3.90064
GAN: loss d: 10.58120    loss g: -4.06032
GAN: loss d: 10.49014    loss g: -4.34072
GAN: loss d: 8.80859    loss g: -4.03061
GAN: loss d: 9.92595    loss g: -3.93014
GAN: loss d: 9.99068    loss g: -3.84434
GAN: loss d: 10.95223    loss g: -4.11000
GAN: loss d: 10.42004    loss g: -3.89700
GAN: loss d: 10.67272    loss g: -3.78537
GAN: loss d: 10.67409    loss g: -3.92766
GAN: loss d: 11.06935    loss g: -3.76484
GAN: loss d: 10.56317    loss g: -3.37792
GAN: loss d: 11.63149    loss g: -3.40621
GAN: loss d: 11.41773    loss g: -3.51457
GAN: loss d: 11.98423    loss g: -3.35247
GAN: loss d: 11.16915    loss g: -3.45760
GAN: loss d: 10.64500    loss g: -3.37227
GAN: loss d: 11.65625    loss g: -3.43519
GAN: loss d: 11.38211    loss g: -3.24945
GAN: loss d: 10.55831    loss g: -3.48838
GAN: loss d: 11.29151    loss g: -3.58824
GAN: loss d: 7.92735    loss g: -3.44409
GAN: loss d: 11.07189    loss g: -3.58313
GAN: loss d: 11.51883    loss g: -3.62313
GAN: loss d: 11.75604    loss g: -3.82428
GAN: loss d: 11.34073    loss g: -3.29933
GAN: loss d: 11.56467    loss g: -3.40753
GAN: loss d: 9.86574    loss g: -3.27108
GAN: loss d: 11.41069    loss g: -3.52546
GAN: loss d: 11.07472    loss g: -3.23167
GAN: loss d: 11.62668    loss g: -3.19108
GAN: loss d: 11.57323    loss g: -2.71560
GAN: loss d: 10.51837    loss g: -3.65468
GAN: loss d: 10.92547    loss g: -3.77271
GAN: loss d: 9.97228    loss g: -3.66055
GAN: loss d: 10.63272    loss g: -3.54794
GAN: loss d: 9.61477    loss g: -3.59443
